movieId,title,genres,description,posterUrl,title_th,description_th
1,The Matrix,Action|Sci-Fi,A hacker discovers the true nature of his reality and his role in the war against its controllers.,https://image.tmdb.org/t/p/w500/p96dm7sCMn4VYAStA6siNz30G1r.jpg,เดอะ เมทริกซ์,แฮกเกอร์คนหนึ่งค้นพบความจริงของโลกที่เขาอยู่และบทบาทของตัวเองในสงครามกับผู้ควบคุมโลกเสมือนนี้
2,Inception,Action|Sci-Fi|Thriller,"A skilled thief enters people's dreams to steal secrets, but must plant an idea instead.",https://image.tmdb.org/t/p/w500/xlaY2zyzMfkhk0HSC5VUwzoZPU1.jpg,อินเซ็ปชั่น,โจรฝีมือดีผู้ลอบเข้าไปในความฝันของผู้อื่นเพื่อขโมยความลับ แต่ครั้งนี้ต้องใส่ความคิดลงไปแทน
3,The Dark Knight,Action|Crime|Drama,"Batman faces the Joker, a criminal mastermind who plunges Gotham into chaos.",https://image.tmdb.org/t/p/w500/qJ2tW6WMUDux911r6m7haRef0WH.jpg,เดอะ ดาร์ก ไนท์,แบทแมนต้องเผชิญหน้ากับโจ๊กเกอร์ อาชญากรอัจฉริยะที่ทำให้ก็อตแธมจมอยู่ในความโกลาหล
4,Interstellar,Adventure|Drama|Sci-Fi,A group of explorers travels through a wormhole in space to ensure humanity's survival.,https://image.tmdb.org/t/p/w500/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,อินเตอร์สเตลลาร์,ทีมนักสำรวจออกเดินทางผ่านรูหนอนในอวกาศเพื่อค้นหาบ้านหลังใหม่ให้มนุษยชาติ
5,The Shawshank Redemption,Drama,A banker is sentenced to life in prison and forms a transformative friendship with a fellow inmate.,https://image.tmdb.org/t/p/w500/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,ชอว์แชงค์ มิตรภาพ ความหวัง ความรุนแรง,นายธนาคารผู้ถูกจองจำตลอดชีวิตสร้างมิตรภาพที่เปลี่ยนชีวิตกับนักโทษร่วมคุก
6,The Godfather,Crime|Drama,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.,https://image.tmdb.org/t/p/w500/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,เดอะ ก็อดฟาเธอร์,ผู้นำตระกูลมาเฟียผู้สูงวัยส่งต่ออำนาจให้ลูกชายที่ไม่อยากเข้าสู่โลกอาชญากรรม
7,Forrest Gump,Drama|Romance,A man with a low IQ unwittingly influences several historical events in the 20th century USA.,https://image.tmdb.org/t/p/w500/saHP97rTPS5eLmrLQEcANmKrsFl.jpg,ฟอเรสต์ กัมพ์,ชายหนุ่มจิตใจดีแต่ไอคิวต่ำที่เดินผ่านเหตุการณ์สำคัญมากมายในประวัติศาสตร์อเมริกาโดยไม่รู้ตัว
8,The Avengers,Action|Adventure|Sci-Fi,Earth's mightiest heroes must come together to stop an alien invasion led by Loki.,https://image.tmdb.org/t/p/w500/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,ดิ อเวนเจอร์ส,เหล่าซูเปอร์ฮีโร่ต้องร่วมมือกันหยุดการรุกรานโลกจากกองทัพต่างดาวที่โลคิเป็นผู้นำ
9,Toy Story,Animation|Adventure|Comedy,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him.,https://image.tmdb.org/t/p/w500/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,ทอย สตอรี่,ตุ๊กตาคาวบอยรู้สึกถูกคุกคามและอิจฉาเมื่อของเล่นอวกาศตัวใหม่กลายเป็นของเล่นสุดโปรดแทนที่เขา
10,Spirited Away,Animation|Adventure|Fantasy,A young girl enters a spirit world and must work in a bathhouse to free her parents.,https://image.tmdb.org/t/p/w500/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,มิติวิญญาณมหัศจรรย์,เด็กหญิงพลัดหลงเข้าไปในโลกวิญญาณและต้องทำงานในโรงอาบน้ำของเทพเจ้าเพื่อช่วยพ่อแม่ให้เป็นอิสระ
11,La La Land,Comedy|Drama|Romance,A jazz musician and an aspiring actress fall in love while pursuing their dreams in Los Angeles.,https://image.tmdb.org/t/p/w500/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg,ลา ลา แลนด์,นักดนตรีแจ๊สและนักแสดงสาวผู้มีความฝันตกหลุมรักกันท่ามกลางการไล่ตามความฝันในลอสแอนเจลิส
12,Parasite,Comedy|Drama|Thriller,A poor family schemes to become employed by a wealthy household by infiltrating their staff.,https://image.tmdb.org/t/p/w500/4DGPORlVIDIQvsuSDnM4uXKMjWS.jpg,ชนชั้นปรสิต,ครอบครัวยากจนวางแผนแทรกซึมเข้าไปทำงานให้ครอบครัวคนรวยจนเกิดเหตุการณ์บานปลาย
13,The Conjuring,Horror|Mystery|Thriller,Paranormal investigators help a family terrorized by a dark presence in their farmhouse.,https://image.tmdb.org/t/p/w500/wVYREutTvI2tmxr6ujrHT704wGF.jpg,เดอะ คอนเจอริ่ง คนเรียกผี,สองนักล่าผีเข้าไปช่วยครอบครัวหนึ่งที่ถูกรบกวนจากสิ่งลึกลับในบ้านไร่เก่าแก่
14,Mad Max: Fury Road,Action|Adventure|Sci-Fi,"In a post-apocalyptic wasteland, a woman rebels against a tyrant with the help of a drifter named Max.",https://image.tmdb.org/t/p/w500/hA2ple9q4qnwxp3hKVNhroipsir.jpg,แมด แม็กซ์ ถนนโลกันตร์,ในโลกหลังล่มสลายหญิงนักสู้ลุกขึ้นต่อต้านทรราชด้วยความช่วยเหลือจากชายพเนจรชื่อแม็กซ์
15,The Notebook,Drama|Romance,A love story between a poor young man and a rich young woman in 1940s South Carolina.,https://image.tmdb.org/t/p/w500/rNzQyW4f8B8cQeg7Dgj3n6eT5k9.jpg,เดอะ โน้ตบุ๊ค,เรื่องราวรักกินใจระหว่างหนุ่มยากจนกับสาวฐานะดีในอเมริกาช่วงทศวรรษ 1940
